# Number of sections
# Number of elements
# Number of vertices
10 712 1768
# id: Unique ID of the section.
# fault_id: ID of the parent fault.
# name: Name of the fault.
# id fault_id name 
0 1 SAF-Mendo_Offs
1 1 SAF-N_Mendocin
2 1 SAF-N_Mendocin
3 1 SAF-N_Coast_Of
4 1 SAF-N_Coast_On
5 1 SAF-N_Mid_Peni
6 1 SAF-S_Mid_Peni
7 1 SAF-S_Mid_Peni
8 1 SAF-S_Cruz_Mts
9 1 SAF-S_Cruz_Mts
# id: Unique ID of the element.
# section_id: ID of the section associated with the element.
# vertex_0: ID of vertex 0.
# vertex_1: ID of vertex 1.
# vertex_2: ID of vertex 2.
# is_quad: Whether the vertices constitute 3 points of a triangle (zero) or 3 points of a parallelogram (non-zero).
# slip_rate: Long term slip rate of element in meters per second.
# aseismic: Fraction of slip on element that is aseismic.
# rake: Rake angle of element in radians.
# lame_mu: Lame's parameter describing the shear modulus of the material for this element (Pascals).
# lame_lambda: Lame's lambda parameter of the material for this element, in Pascals.
# max_slip: Maximum slip distance for this element, in meters.
# stress_drop: Stress drop for this element, in Pascals.
# id section_id vertex_0 vertex_1 vertex_2 is_quad slip_rate aseismic rake lame_mu lame_lambda max_slip stress_drop 
0 0 0 1 3 1 0 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
1 0 1 4 2 1 0 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
2 0 4 6 5 1 0 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
3 0 6 8 7 1 0 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
4 0 10 11 13 1 8.09631e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
5 0 11 14 12 1 7.56395e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
6 0 14 16 15 1 6.36931e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
7 0 16 18 17 1 3.9515e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
8 0 20 21 23 1 1.02606e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
9 0 21 24 22 1 9.58882e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
10 0 24 26 25 1 8.07413e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
11 0 26 28 27 1 5.00672e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
12 0 30 31 33 1 1.13317e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
13 0 31 34 32 1 1.0587e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
14 0 34 36 35 1 8.91703e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
15 0 36 38 37 1 5.52957e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
16 0 40 41 43 1 1.33344e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
17 0 41 44 42 1 1.24598e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
18 0 44 46 45 1 1.04919e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
19 0 46 48 47 1 6.50556e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
20 0 50 51 53 1 1.36671e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
21 0 51 54 52 1 1.27703e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
22 0 54 56 55 1 1.07549e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
23 0 56 58 57 1 6.67034e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
24 0 60 61 63 1 1.38667e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
25 0 61 64 62 1 1.29573e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
26 0 64 66 65 1 1.09102e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
27 0 66 68 67 1 6.76541e-10 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
28 0 70 71 73 1 1.40093e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
29 0 71 74 72 1 1.30903e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
30 0 74 76 75 1 1.10243e-09 0 3.14159 3e+10 3.2e+10 0.947158 -2.2617e+07
