# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
1 1 50 Anar
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
31.289 55.159 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.307 55.154 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.324 55.149 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.342 55.144 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.359 55.139 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.377 55.134 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.395 55.129 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.412 55.124 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.43 55.119 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.447 55.114 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.465 55.108 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.482 55.103 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.5 55.098 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.518 55.093 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.535 55.088 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.552 55.082 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.569 55.074 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.586 55.067 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.603 55.06 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.62 55.052 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.637 55.045 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.654 55.038 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.671 55.03 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.688 55.023 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.705 55.017 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.723 55.013 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.741 55.008 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.758 55.003 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.776 54.999 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.794 54.994 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.811 54.99 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.829 54.985 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.847 54.98 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.864 54.975 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.882 54.97 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.899 54.965 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.917 54.96 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.934 54.955 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.952 54.95 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.97 54.945 0 15000 0.0784 0 180 90 3e+010 3.2e+010
31.987 54.941 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.005 54.936 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.023 54.932 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.04 54.927 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.056 54.917 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.072 54.906 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.088 54.896 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.103 54.885 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.119 54.874 0 15000 0.0784 0 180 90 3e+010 3.2e+010
32.134 54.864 0 15000 0.0784 0 180 90 3e+010 3.2e+010
