# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
2 2 69 Anar_1
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
31.89 54.783 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.872 54.787 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.855 54.791 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.837 54.795 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.819 54.799 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.801 54.803 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.784 54.807 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.766 54.811 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.749 54.817 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.733 54.828 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.717 54.838 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.702 54.849 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.687 54.861 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.673 54.875 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.66 54.889 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.646 54.903 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.633 54.917 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.619 54.931 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.605 54.945 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.594 54.961 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.584 54.978 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.573 54.995 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.562 55.012 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.55 55.028 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.538 55.044 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.526 55.06 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.511 55.072 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.495 55.082 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.478 55.088 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.46 55.092 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.443 55.095 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.425 55.099 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.407 55.102 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.389 55.106 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.371 55.11 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.354 55.115 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.336 55.12 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.319 55.125 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.301 55.13 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.284 55.136 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.266 55.141 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.249 55.146 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.231 55.152 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.214 55.157 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.196 55.162 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.179 55.167 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.161 55.173 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.144 55.178 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.126 55.183 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.109 55.188 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.091 55.194 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.073 55.199 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.056 55.204 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.038 55.21 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.021 55.213 0 15000 0.0783 0 180 90 3e+010 3.2e+010
31.003 55.216 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.985 55.219 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.967 55.222 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.949 55.225 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.931 55.228 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.913 55.231 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.895 55.234 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.877 55.237 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.859 55.24 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.842 55.243 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.824 55.246 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.806 55.249 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.788 55.253 0 15000 0.0783 0 180 90 3e+010 3.2e+010
30.77 55.256 0 15000 0.0783 0 180 90 3e+010 3.2e+010
