# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
47 47 65 Bam
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
29.328 58.324 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.31 58.329 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.293 58.335 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.276 58.34 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.258 58.346 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.241 58.352 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.223 58.357 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.206 58.363 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.188 58.368 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.171 58.374 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.154 58.379 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.136 58.385 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.119 58.391 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.101 58.396 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.084 58.402 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.067 58.407 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.049 58.413 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.032 58.418 0 15000 0.2352 0 180 90 3e+010 3.2e+010
29.015 58.425 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.998 58.433 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.981 58.441 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.964 58.449 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.948 58.456 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.931 58.464 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.914 58.472 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.898 58.48 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.881 58.488 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.864 58.496 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.847 58.503 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.831 58.511 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.814 58.519 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.797 58.527 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.78 58.535 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.764 58.542 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.746 58.547 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.728 58.551 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.711 58.555 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.693 58.56 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.675 58.564 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.658 58.568 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.64 58.573 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.623 58.58 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.606 58.588 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.589 58.595 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.572 58.602 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.556 58.61 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.539 58.617 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.522 58.624 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.505 58.631 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.488 58.639 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.472 58.649 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.457 58.66 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.442 58.671 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.426 58.681 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.411 58.692 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.396 58.703 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.38 58.714 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.365 58.726 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.351 58.737 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.336 58.749 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.321 58.761 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.306 58.772 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.291 58.784 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.276 58.796 0 15000 0.2352 0 180 90 3e+010 3.2e+010
28.262 58.808 0 15000 0.2352 0 180 90 3e+010 3.2e+010
