# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
7 7 19 Chatrud
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
30.594 56.938 0 15000 0 0 180 90 3e+010 3.2e+010
30.582 56.954 0 15000 0 0 180 90 3e+010 3.2e+010
30.57 56.97 0 15000 0 0 180 90 3e+010 3.2e+010
30.557 56.985 0 15000 0 0 180 90 3e+010 3.2e+010
30.542 56.996 0 15000 0 0 180 90 3e+010 3.2e+010
30.526 57.005 0 15000 0 0 180 90 3e+010 3.2e+010
30.509 57.012 0 15000 0 0 180 90 3e+010 3.2e+010
30.492 57.019 0 15000 0 0 180 90 3e+010 3.2e+010
30.479 57.035 0 15000 0 0 180 90 3e+010 3.2e+010
30.47 57.053 0 15000 0 0 180 90 3e+010 3.2e+010
30.462 57.071 0 15000 0 0 180 90 3e+010 3.2e+010
30.456 57.091 0 15000 0 0 180 90 3e+010 3.2e+010
30.449 57.11 0 15000 0 0 180 90 3e+010 3.2e+010
30.442 57.129 0 15000 0 0 180 90 3e+010 3.2e+010
30.436 57.149 0 15000 0 0 180 90 3e+010 3.2e+010
30.429 57.168 0 15000 0 0 180 90 3e+010 3.2e+010
30.422 57.187 0 15000 0 0 180 90 3e+010 3.2e+010
30.415 57.207 0 15000 0 0 180 90 3e+010 3.2e+010
30.408 57.226 0 15000 0 0 180 90 3e+010 3.2e+010
