# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
49 49 68 Darivan
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
31.39 55.505 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.376 55.518 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.362 55.531 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.347 55.544 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.333 55.557 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.319 55.571 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.305 55.584 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.291 55.597 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.275 55.607 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.259 55.617 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.243 55.628 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.228 55.638 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.212 55.648 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.196 55.659 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.18 55.669 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.165 55.68 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.149 55.69 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.133 55.7 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.119 55.713 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.105 55.726 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.091 55.74 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.077 55.753 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.064 55.767 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.05 55.781 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.036 55.794 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.022 55.808 0 15000 0.083539 0 90 45 3e+010 3.2e+010
31.008 55.821 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.994 55.835 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.981 55.848 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.967 55.862 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.954 55.877 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.943 55.893 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.931 55.909 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.92 55.925 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.908 55.942 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.897 55.958 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.885 55.974 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.874 55.99 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.862 56.006 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.849 56.021 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.836 56.035 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.823 56.05 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.81 56.064 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.797 56.079 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.784 56.093 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.771 56.108 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.758 56.123 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.745 56.137 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.732 56.152 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.72 56.167 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.708 56.183 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.696 56.199 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.685 56.215 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.673 56.23 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.664 56.248 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.656 56.267 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.647 56.285 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.634 56.3 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.622 56.315 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.609 56.33 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.596 56.345 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.584 56.36 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.571 56.375 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.558 56.39 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.546 56.405 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.533 56.42 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.52 56.435 0 15000 0.083539 0 90 45 3e+010 3.2e+010
30.508 56.45 0 15000 0.083539 0 90 45 3e+010 3.2e+010
