# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
97 97 82 East_Neh
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
32.266 60.255 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.248 60.259 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.23 60.263 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.213 60.267 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.195 60.271 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.177 60.275 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.159 60.279 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.142 60.284 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.124 60.289 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.107 60.294 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.089 60.299 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.063 60.299 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.045 60.299 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.027 60.298 0 15000 0.2126 0 180 90 3e+010 3.2e+010
32.009 60.297 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.991 60.297 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.973 60.294 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.956 60.29 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.938 60.285 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.92 60.281 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.902 60.277 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.885 60.272 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.867 60.268 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.85 60.262 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.832 60.257 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.815 60.251 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.797 60.245 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.78 60.239 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.763 60.234 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.745 60.228 0 15000 0.2126 0 180 90 3e+010 3.2e+010
31.728 60.222 0 15000 0.2126 0 180 90 3e+010 3.2e+010
