# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
54 54 49 Golbaf-Sirch(Gowk_1)
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
30.428 57.534 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.388 57.533 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.37 57.534 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.352 57.534 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.334 57.534 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.316 57.534 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.298 57.539 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.281 57.547 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.265 57.555 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.248 57.562 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.231 57.57 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.214 57.578 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.197 57.586 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.181 57.593 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.164 57.601 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.147 57.609 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.131 57.618 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.114 57.626 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.098 57.635 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.081 57.643 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.065 57.652 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.048 57.66 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.032 57.669 0 15000 0.3834 0 180 60 3e+010 3.2e+010
30.015 57.677 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.999 57.686 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.982 57.695 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.966 57.703 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.949 57.712 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.933 57.72 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.916 57.729 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.9 57.737 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.883 57.746 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.867 57.754 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.85 57.763 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.834 57.771 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.817 57.78 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.802 57.79 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.786 57.801 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.77 57.811 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.755 57.822 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.739 57.832 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.724 57.842 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.708 57.853 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.692 57.863 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.676 57.871 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.658 57.876 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.641 57.882 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.623 57.887 0 15000 0.3834 0 180 60 3e+010 3.2e+010
29.606 57.892 0 15000 0.3834 0 180 60 3e+010 3.2e+010
