# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
55 55 82 Gowk
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
30.107 57.425 0 15000 0.1474 0 180 60 3e+010 3.2e+010
30.092 57.436 0 15000 0.1474 0 180 60 3e+010 3.2e+010
30.076 57.447 0 15000 0.1474 0 180 60 3e+010 3.2e+010
30.061 57.458 0 15000 0.1474 0 180 60 3e+010 3.2e+010
30.046 57.469 0 15000 0.1474 0 180 60 3e+010 3.2e+010
30.03 57.481 0 15000 0.1474 0 180 60 3e+010 3.2e+010
30.015 57.492 0 15000 0.1474 0 180 60 3e+010 3.2e+010
30 57.503 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.985 57.514 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.97 57.526 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.957 57.54 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.944 57.555 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.932 57.57 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.919 57.585 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.906 57.599 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.893 57.614 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.881 57.629 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.868 57.644 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.855 57.658 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.843 57.673 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.83 57.688 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.817 57.703 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.804 57.717 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.792 57.732 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.777 57.744 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.761 57.753 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.744 57.762 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.728 57.772 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.712 57.781 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.696 57.791 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.68 57.799 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.662 57.804 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.645 57.81 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.627 57.815 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.61 57.82 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.592 57.825 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.575 57.83 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.557 57.835 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.54 57.841 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.522 57.846 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.504 57.849 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.486 57.853 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.469 57.857 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.451 57.86 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.433 57.864 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.415 57.867 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.397 57.871 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.38 57.875 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.362 57.878 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.344 57.882 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.326 57.885 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.308 57.889 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.29 57.893 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.273 57.896 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.255 57.899 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.237 57.903 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.219 57.906 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.201 57.909 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.183 57.913 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.166 57.916 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.148 57.92 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.13 57.923 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.112 57.926 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.094 57.93 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.076 57.933 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.058 57.936 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.041 57.941 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.024 57.948 0 15000 0.1474 0 180 60 3e+010 3.2e+010
29.007 57.955 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.99 57.963 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.975 57.974 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.96 57.985 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.946 57.998 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.934 58.014 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.922 58.029 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.911 58.045 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.899 58.06 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.887 58.076 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.875 58.092 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.863 58.107 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.852 58.123 0 15000 0.1474 0 180 60 3e+010 3.2e+010
28.84 58.138 0 15000 0.1474 0 180 60 3e+010 3.2e+010
