# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
100 100 33 Jafarabad
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
31.709 56.26 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.722 56.245 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.734 56.229 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.746 56.214 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.759 56.198 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.771 56.183 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.785 56.17 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.801 56.159 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.817 56.149 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.832 56.138 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.848 56.127 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.863 56.116 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.878 56.104 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.893 56.093 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.909 56.081 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.924 56.07 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.941 56.062 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.958 56.056 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.975 56.051 0 15000 0.035358 0 90 45 3e+010 3.2e+010
31.993 56.047 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.011 56.043 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.029 56.039 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.047 56.036 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.063 56.027 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.079 56.016 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.094 56.005 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.11 55.994 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.125 55.983 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.142 55.976 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.159 55.969 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.176 55.963 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.193 55.956 0 15000 0.035358 0 90 45 3e+010 3.2e+010
32.211 55.949 0 15000 0.035358 0 90 45 3e+010 3.2e+010
