# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
65 65 100 Kuh_Banan
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
32.03 55.865 0 15000 0.1419 0 180 90 3e+010 3.2e+010
32.015 55.876 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.999 55.886 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.983 55.897 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.967 55.907 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.952 55.918 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.936 55.929 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.92 55.939 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.905 55.95 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.889 55.96 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.873 55.971 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.858 55.981 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.842 55.992 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.826 56.002 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.81 56.012 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.794 56.02 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.777 56.029 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.761 56.037 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.744 56.046 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.727 56.054 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.711 56.063 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.694 56.071 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.678 56.08 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.661 56.088 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.644 56.097 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.628 56.105 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.611 56.114 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.595 56.122 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.58 56.134 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.565 56.146 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.55 56.157 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.535 56.169 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.52 56.181 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.505 56.193 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.49 56.205 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.474 56.216 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.458 56.224 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.441 56.233 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.425 56.241 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.408 56.25 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.392 56.258 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.374 56.261 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.356 56.264 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.338 56.267 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.32 56.271 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.303 56.277 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.286 56.283 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.268 56.289 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.251 56.295 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.234 56.301 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.216 56.307 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.199 56.313 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.182 56.319 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.166 56.331 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.153 56.345 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.139 56.359 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.126 56.373 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.112 56.387 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.099 56.401 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.085 56.415 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.072 56.428 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.058 56.442 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.045 56.456 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.031 56.47 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.018 56.484 0 15000 0.1419 0 180 90 3e+010 3.2e+010
31.004 56.498 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.991 56.512 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.977 56.525 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.963 56.539 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.949 56.553 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.936 56.566 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.922 56.58 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.908 56.594 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.894 56.607 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.881 56.621 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.867 56.634 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.853 56.648 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.839 56.662 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.826 56.675 0 15000 0.1419 0 180 90 3e+010 3.2e+010
30.812 56.689 0 15000 0.1419 0 180 90 3e+010 3.2e+010
