# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
66 66 57 Lakarkuh
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
31.464 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.446 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.428 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.41 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.392 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.374 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.356 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.338 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.32 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.301 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.283 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.265 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.247 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.229 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.211 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.193 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.175 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.157 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.139 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.121 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.102 57.149 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.083 57.157 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.066 57.165 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.049 57.173 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.032 57.181 0 15000 0.52897 0 90 64 3e+010 3.2e+010
31.016 57.189 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.999 57.197 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.982 57.205 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.965 57.213 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.948 57.22 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.932 57.228 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.915 57.236 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.898 57.244 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.881 57.252 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.865 57.26 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.848 57.268 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.831 57.276 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.815 57.285 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.799 57.294 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.783 57.304 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.767 57.314 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.751 57.323 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.735 57.333 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.719 57.343 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.703 57.352 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.686 57.362 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.67 57.372 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.654 57.381 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.638 57.39 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.62 57.392 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.602 57.394 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.584 57.397 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.568 57.406 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.553 57.419 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.54 57.433 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.529 57.45 0 15000 0.52897 0 90 64 3e+010 3.2e+010
30.519 57.466 0 15000 0.52897 0 90 64 3e+010 3.2e+010
