# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
142 142 26 Lalehzar
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
29.475 56.505 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.476 56.526 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.478 56.546 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.479 56.567 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.481 56.588 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.482 56.608 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.483 56.629 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.485 56.649 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.486 56.67 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.487 56.69 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.489 56.711 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.49 56.732 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.491 56.752 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.493 56.773 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.494 56.793 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.495 56.814 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.497 56.835 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.498 56.855 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.499 56.876 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.501 56.896 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.502 56.917 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.503 56.938 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.505 56.958 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.506 56.979 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.507 56.999 0 15000 0.0791 0 0 90 3e+010 3.2e+010
29.508 57.02 0 15000 0.0791 0 0 90 3e+010 3.2e+010
