# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
73 73 142 Nayband
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
32.982 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.964 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.946 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.928 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.91 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.891 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.873 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.855 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.837 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.819 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.801 57.489 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.783 57.49 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.765 57.49 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.747 57.491 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.729 57.494 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.711 57.497 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.693 57.5 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.675 57.503 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.657 57.506 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.639 57.509 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.621 57.512 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.603 57.514 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.585 57.517 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.568 57.52 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.55 57.523 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.532 57.525 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.514 57.528 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.496 57.53 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.478 57.53 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.46 57.53 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.441 57.53 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.423 57.53 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.404 57.528 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.386 57.527 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.368 57.525 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.35 57.523 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.332 57.521 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.314 57.52 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.29 57.519 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.272 57.52 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.254 57.521 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.236 57.521 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.218 57.522 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.2 57.522 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.181 57.523 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.163 57.523 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.145 57.524 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.127 57.525 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.109 57.525 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.091 57.526 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.073 57.526 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.055 57.527 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.037 57.527 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.019 57.528 0 15000 0.1865 0 180 90 3e+010 3.2e+010
32.001 57.529 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.982 57.529 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.964 57.53 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.946 57.53 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.928 57.531 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.91 57.531 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.892 57.532 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.874 57.533 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.856 57.533 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.838 57.534 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.82 57.534 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.802 57.535 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.784 57.535 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.765 57.536 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.747 57.537 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.729 57.537 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.711 57.538 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.693 57.538 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.675 57.539 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.657 57.54 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.639 57.541 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.621 57.542 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.603 57.542 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.585 57.543 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.567 57.544 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.549 57.545 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.53 57.545 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.512 57.546 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.494 57.547 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.476 57.548 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.458 57.549 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.44 57.549 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.422 57.55 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.404 57.551 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.386 57.552 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.368 57.552 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.35 57.553 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.332 57.554 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.313 57.555 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.295 57.556 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.276 57.555 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.258 57.555 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.24 57.555 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.222 57.555 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.204 57.555 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.186 57.554 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.168 57.553 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.15 57.552 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.132 57.551 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.113 57.55 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.095 57.548 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.077 57.547 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.059 57.546 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.041 57.544 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31.018 57.544 0 15000 0.1865 0 180 90 3e+010 3.2e+010
31 57.545 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.982 57.545 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.964 57.545 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.946 57.546 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.928 57.547 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.91 57.549 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.892 57.551 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.874 57.553 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.856 57.554 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.838 57.556 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.82 57.558 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.802 57.56 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.784 57.562 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.766 57.564 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.748 57.566 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.73 57.567 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.712 57.569 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.694 57.571 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.676 57.573 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.658 57.575 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.64 57.577 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.622 57.579 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.604 57.58 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.586 57.582 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.568 57.584 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.55 57.586 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.532 57.588 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.514 57.59 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.496 57.592 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.478 57.593 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.46 57.595 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.441 57.597 0 15000 0.1865 0 180 90 3e+010 3.2e+010
30.423 57.599 0 15000 0.1865 0 180 90 3e+010 3.2e+010
