# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
75 75 83 Nosratabad_1
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
29.865 59.917 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.847 59.919 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.829 59.92 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.811 59.921 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.793 59.922 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.775 59.923 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.757 59.924 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.738 59.925 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.72 59.927 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.703 59.93 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.685 59.932 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.667 59.935 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.649 59.938 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.631 59.941 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.613 59.944 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.595 59.947 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.577 59.95 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.559 59.953 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.541 59.955 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.523 59.958 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.506 59.961 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.488 59.966 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.47 59.971 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.453 59.975 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.435 59.98 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.418 59.985 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.4 59.99 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.383 59.996 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.365 60.001 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.348 60.006 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.33 60.011 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.312 60.014 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.294 60.017 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.276 60.019 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.258 60.022 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.24 60.025 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.223 60.029 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.205 60.033 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.188 60.041 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.173 60.051 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.157 60.062 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.142 60.073 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.127 60.084 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.11 60.091 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.093 60.099 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.076 60.106 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.059 60.113 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.042 60.121 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.025 60.128 0 15000 0.1928 0 180 90 3e+010 3.2e+010
29.008 60.136 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.992 60.144 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.976 60.154 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.96 60.163 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.944 60.173 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.927 60.179 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.909 60.184 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.892 60.19 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.874 60.195 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.857 60.201 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.84 60.206 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.822 60.212 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.805 60.217 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.787 60.222 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.769 60.227 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.752 60.231 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.734 60.235 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.716 60.24 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.699 60.244 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.681 60.249 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.663 60.25 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.645 60.25 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.627 60.251 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.609 60.251 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.591 60.251 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.573 60.251 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.555 60.255 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.538 60.263 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.521 60.27 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.505 60.278 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.488 60.286 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.471 60.294 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.455 60.303 0 15000 0.1928 0 180 90 3e+010 3.2e+010
28.438 60.311 0 15000 0.1928 0 180 90 3e+010 3.2e+010
