# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
20 20 70 Posht-e-Badam
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
31.952 55.421 0 15000 0.0294 0 180 90 3e+010 3.2e+010
31.969 55.415 0 15000 0.0294 0 180 90 3e+010 3.2e+010
31.986 55.409 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.004 55.403 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.021 55.397 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.038 55.389 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.053 55.378 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.068 55.366 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.084 55.355 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.099 55.344 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.114 55.332 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.129 55.321 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.145 55.31 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.16 55.298 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.176 55.289 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.194 55.285 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.212 55.281 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.229 55.277 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.247 55.273 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.265 55.269 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.283 55.267 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.301 55.265 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.319 55.263 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.337 55.26 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.355 55.258 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.373 55.256 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.391 55.254 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.409 55.252 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.427 55.25 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.445 55.248 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.467 55.253 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.485 55.258 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.502 55.262 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.52 55.267 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.538 55.272 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.555 55.277 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.573 55.281 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.59 55.288 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.607 55.296 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.624 55.304 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.64 55.312 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.657 55.32 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.674 55.329 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.691 55.337 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.707 55.345 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.724 55.353 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.74 55.362 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.757 55.371 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.773 55.38 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.79 55.389 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.806 55.398 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.822 55.407 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.839 55.416 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.855 55.425 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.872 55.434 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.888 55.443 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.905 55.452 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.921 55.461 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.938 55.468 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.955 55.474 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.973 55.481 0 15000 0.0294 0 180 90 3e+010 3.2e+010
32.99 55.487 0 15000 0.0294 0 180 90 3e+010 3.2e+010
33.007 55.494 0 15000 0.0294 0 180 90 3e+010 3.2e+010
33.024 55.501 0 15000 0.0294 0 180 90 3e+010 3.2e+010
33.041 55.507 0 15000 0.0294 0 180 90 3e+010 3.2e+010
33.059 55.514 0 15000 0.0294 0 180 90 3e+010 3.2e+010
33.076 55.52 0 15000 0.0294 0 180 90 3e+010 3.2e+010
33.093 55.527 0 15000 0.0294 0 180 90 3e+010 3.2e+010
33.11 55.534 0 15000 0.0294 0 180 90 3e+010 3.2e+010
33.128 55.54 0 15000 0.0294 0 180 90 3e+010 3.2e+010
