# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
74 74 66 Rafsanjan
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
30.632 55.264 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.617 55.275 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.602 55.287 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.586 55.298 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.573 55.312 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.563 55.329 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.552 55.346 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.546 55.366 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.543 55.386 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.539 55.407 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.536 55.427 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.529 55.446 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.519 55.464 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.509 55.482 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.5 55.499 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.49 55.517 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.479 55.533 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.467 55.549 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.456 55.566 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.445 55.582 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.433 55.598 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.422 55.614 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.41 55.63 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.399 55.646 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.387 55.662 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.376 55.679 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.365 55.695 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.353 55.711 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.342 55.727 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.334 55.746 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.325 55.764 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.317 55.783 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.309 55.801 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.3 55.82 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.291 55.837 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.281 55.854 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.271 55.872 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.261 55.89 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.253 55.908 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.244 55.926 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.232 55.942 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.217 55.954 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.203 55.967 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.189 55.98 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.175 55.993 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.163 56.009 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.153 56.026 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.143 56.044 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.134 56.061 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.124 56.079 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.114 56.096 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.102 56.112 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.088 56.124 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.074 56.137 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.059 56.15 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.045 56.163 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.031 56.175 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.016 56.188 0 15000 0.0677 0 180 90 3e+010 3.2e+010
30.002 56.2 0 15000 0.0677 0 180 90 3e+010 3.2e+010
29.987 56.212 0 15000 0.0677 0 180 90 3e+010 3.2e+010
29.973 56.225 0 15000 0.0677 0 180 90 3e+010 3.2e+010
29.958 56.237 0 15000 0.0677 0 180 90 3e+010 3.2e+010
29.944 56.25 0 15000 0.0677 0 180 90 3e+010 3.2e+010
29.929 56.262 0 15000 0.0677 0 180 90 3e+010 3.2e+010
29.915 56.274 0 15000 0.0677 0 180 90 3e+010 3.2e+010
29.9 56.287 0 15000 0.0677 0 180 90 3e+010 3.2e+010
