# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
26 26 51 Sarbala
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
32.124 55.836 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.142 55.833 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.16 55.831 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.178 55.828 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.196 55.826 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.214 55.824 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.232 55.821 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.25 55.819 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.268 55.816 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.286 55.813 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.303 55.809 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.321 55.806 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.339 55.802 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.357 55.799 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.375 55.795 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.393 55.792 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.411 55.789 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.428 55.785 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.446 55.781 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.464 55.778 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.482 55.774 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.5 55.77 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.517 55.766 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.535 55.762 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.553 55.758 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.571 55.754 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.588 55.749 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.606 55.745 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.624 55.741 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.641 55.736 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.659 55.732 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.677 55.727 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.694 55.72 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.711 55.714 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.728 55.707 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.745 55.7 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.763 55.693 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.78 55.687 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.797 55.68 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.814 55.674 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.832 55.668 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.849 55.662 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.866 55.656 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.899 55.653 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.917 55.654 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.935 55.654 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.953 55.658 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.97 55.663 0 15000 0.0697 0 180 90 3e+010 3.2e+010
32.988 55.668 0 15000 0.0697 0 180 90 3e+010 3.2e+010
33.006 55.672 0 15000 0.0697 0 180 90 3e+010 3.2e+010
33.023 55.677 0 15000 0.0697 0 180 90 3e+010 3.2e+010
