# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
147 147 15 Sefidabeh
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
31.388 60.686 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.371 60.693 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.353 60.699 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.336 60.707 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.321 60.718 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.306 60.729 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.291 60.741 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.275 60.752 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.263 60.767 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.251 60.783 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.237 60.795 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.221 60.806 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.203 60.809 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.185 60.812 0 15000 0.058283 0 90 45 3e+010 3.2e+010
31.167 60.815 0 15000 0.058283 0 90 45 3e+010 3.2e+010
