# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
124 124 58 Shahdad
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
29.594 58.156 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.612 58.154 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.63 58.153 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.648 58.151 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.666 58.149 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.684 58.147 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.702 58.145 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.72 58.144 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.738 58.142 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.756 58.14 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.774 58.138 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.792 58.136 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.81 58.134 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.828 58.133 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.846 58.13 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.864 58.126 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.881 58.122 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.899 58.117 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.917 58.113 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.934 58.109 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.952 58.102 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.968 58.095 0 15000 0.1073 0 180 88 3e+010 3.2e+010
29.985 58.087 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.002 58.08 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.019 58.073 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.036 58.065 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.052 58.056 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.069 58.047 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.085 58.038 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.101 58.029 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.117 58.02 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.133 58.01 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.15 58.001 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.166 57.992 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.181 57.98 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.194 57.966 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.208 57.952 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.221 57.938 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.235 57.925 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.248 57.911 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.262 57.897 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.275 57.883 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.289 57.869 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.302 57.855 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.312 57.838 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.322 57.82 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.331 57.803 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.341 57.785 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.351 57.768 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.36 57.75 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.367 57.73 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.374 57.711 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.381 57.692 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.388 57.673 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.395 57.654 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.402 57.635 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.409 57.615 0 15000 0.1073 0 180 88 3e+010 3.2e+010
30.417 57.596 0 15000 0.1073 0 180 88 3e+010 3.2e+010
