# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
153 153 88 West_Neh
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
31.502 59.995 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.484 59.997 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.466 59.999 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.448 60.001 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.43 60.003 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.412 60.005 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.394 60.007 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.376 60.009 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.358 60.011 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.34 60.013 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.322 60.015 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.304 60.016 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.286 60.018 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.268 60.02 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.25 60.022 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.232 60.024 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.214 60.026 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.196 60.028 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.178 60.03 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.157 60.028 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.139 60.026 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.121 60.024 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.103 60.022 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.085 60.02 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.067 60.018 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.049 60.015 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.032 60.013 0 15000 0.303 0 180 90 3e+010 3.2e+010
31.014 60.01 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.996 60.007 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.978 60.004 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.96 60.001 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.942 59.998 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.924 59.995 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.906 59.992 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.888 59.989 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.87 59.986 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.853 59.983 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.835 59.979 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.817 59.976 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.799 59.973 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.781 59.97 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.763 59.968 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.745 59.967 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.727 59.966 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.709 59.965 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.691 59.964 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.673 59.963 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.655 59.962 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.636 59.961 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.618 59.96 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.6 59.959 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.582 59.958 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.564 59.957 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.546 59.956 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.528 59.953 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.51 59.949 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.493 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.475 59.942 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.457 59.939 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.439 59.935 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.421 59.932 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.401 59.933 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.383 59.935 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.365 59.936 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.347 59.938 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.329 59.939 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.311 59.94 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.293 59.942 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.275 59.943 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.257 59.945 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.239 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.218 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.2 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.182 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.164 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.146 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.128 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.11 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.092 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.073 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.055 59.946 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.037 59.945 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.019 59.945 0 15000 0.303 0 180 90 3e+010 3.2e+010
30.001 59.945 0 15000 0.303 0 180 90 3e+010 3.2e+010
29.983 59.944 0 15000 0.303 0 180 90 3e+010 3.2e+010
29.965 59.942 0 15000 0.303 0 180 90 3e+010 3.2e+010
29.947 59.94 0 15000 0.303 0 180 90 3e+010 3.2e+010
29.929 59.938 0 15000 0.303 0 180 90 3e+010 3.2e+010
