# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
83 83 104 Zahedan
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
30.77 60.692 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.752 60.691 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.734 60.69 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.716 60.689 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.698 60.688 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.68 60.686 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.662 60.685 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.644 60.684 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.626 60.683 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.607 60.682 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.589 60.68 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.571 60.679 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.553 60.678 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.535 60.677 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.517 60.676 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.499 60.675 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.481 60.673 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.463 60.672 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.445 60.671 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.427 60.67 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.409 60.669 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.381 60.671 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.363 60.673 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.345 60.674 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.327 60.676 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.309 60.678 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.291 60.68 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.273 60.683 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.255 60.686 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.237 60.689 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.219 60.692 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.201 60.694 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.183 60.698 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.166 60.706 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.15 60.713 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.133 60.72 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.116 60.728 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.099 60.736 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.083 60.745 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.066 60.753 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.049 60.761 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.033 60.769 0 15000 0.162 0 180 90 3e+010 3.2e+010
30.016 60.777 0 15000 0.162 0 180 90 3e+010 3.2e+010
30 60.786 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.983 60.794 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.966 60.802 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.95 60.81 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.932 60.816 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.915 60.821 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.897 60.827 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.88 60.832 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.862 60.838 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.845 60.843 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.828 60.849 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.81 60.854 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.793 60.859 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.775 60.865 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.758 60.87 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.74 60.876 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.723 60.881 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.705 60.887 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.688 60.892 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.67 60.897 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.653 60.903 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.636 60.908 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.618 60.912 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.6 60.916 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.582 60.92 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.564 60.924 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.547 60.928 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.529 60.932 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.511 60.936 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.493 60.94 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.476 60.944 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.458 60.947 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.44 60.949 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.422 60.951 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.404 60.954 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.386 60.956 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.368 60.958 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.35 60.96 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.332 60.963 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.314 60.965 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.296 60.967 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.278 60.972 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.261 60.978 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.244 60.985 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.229 60.996 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.213 61.006 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.197 61.016 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.183 61.029 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.169 61.042 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.155 61.055 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.141 61.068 0 15000 0.162 0 180 90 3e+010 3.2e+010
29.129 61.083 0 15000 0.162 0 180 90 3e+010 3.2e+010
