# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
173 173 61 Ahar
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
38.443 46.421 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.436 46.443 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.428 46.463 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.421 46.485 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.416 46.506 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.409 46.528 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.403 46.549 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.397 46.571 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.392 46.593 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.387 46.615 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.383 46.637 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.382 46.66 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.386 46.683 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.387 46.706 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.387 46.728 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.386 46.751 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.386 46.774 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.386 46.797 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.385 46.82 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.383 46.843 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.382 46.866 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.381 46.889 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.381 46.911 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.381 46.934 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.38 46.957 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.379 46.98 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.379 47.003 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.38 47.026 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.38 47.049 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.379 47.072 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.379 47.095 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.38 47.118 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.379 47.14 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.377 47.163 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.375 47.186 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.374 47.209 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.372 47.232 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.368 47.254 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.365 47.276 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.362 47.299 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.36 47.322 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.356 47.344 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.352 47.367 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.347 47.389 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.343 47.411 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.34 47.433 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.336 47.456 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.331 47.478 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.326 47.5 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.323 47.522 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.319 47.545 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.316 47.567 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.313 47.59 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.312 47.613 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.31 47.635 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.307 47.658 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.303 47.68 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.3 47.703 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.298 47.726 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.297 47.749 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
38.297 47.771 -0 15000 0.1167 0 180 90 3e+010 3.2e+010
