# fault_id: ID number of the parent fault of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
33 29 Bozqush
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
38.232 48.208 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.217 48.196 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.202 48.183 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.187 48.171 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.171 48.159 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.156 48.146 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.141 48.134 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.126 48.122 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.11 48.111 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.094 48.1 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.078 48.089 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.062 48.078 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.047 48.065 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.032 48.053 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.017 48.04 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
38.002 48.028 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.987 48.015 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.971 48.003 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.955 47.992 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.939 47.982 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.923 47.971 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.907 47.963 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.89 47.954 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.873 47.946 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.856 47.937 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.839 47.931 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.822 47.925 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.804 47.918 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
37.787 47.912 -0 15000 0.1189 0 0 55 3e+010 3.2e+010
