# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
162 162 52 Chalderan
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
39.058 44.095 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.066 44.074 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.074 44.053 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.082 44.033 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.089 44.011 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.094 43.989 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.099 43.967 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.104 43.944 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.11 43.923 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.117 43.901 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.123 43.879 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.129 43.858 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.135 43.836 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.141 43.814 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.147 43.792 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.153 43.77 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.159 43.748 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.164 43.726 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.169 43.704 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.174 43.681 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.18 43.659 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.188 43.639 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.196 43.618 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.204 43.598 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.212 43.577 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.221 43.556 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.229 43.536 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.237 43.515 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.245 43.494 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.253 43.473 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.262 43.453 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.27 43.432 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.278 43.412 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.286 43.391 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.295 43.37 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.304 43.35 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.313 43.33 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.322 43.31 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.331 43.29 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.341 43.27 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.352 43.252 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.363 43.233 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.374 43.215 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.385 43.196 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.396 43.178 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.408 43.161 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.42 43.143 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.432 43.126 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.444 43.108 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.455 43.09 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.466 43.072 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
39.477 43.053 -0 15000 0.6782 0 180 90 3e+010 3.2e+010
