# fault_id: ID number of the parent fault of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
9 46 Dasht-e-Moghan
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
39.228 47.046 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.235 47.068 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.241 47.09 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.247 47.112 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.253 47.134 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.259 47.155 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.265 47.177 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.271 47.199 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.277 47.221 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.283 47.243 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.289 47.265 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.294 47.287 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.299 47.309 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.305 47.331 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.309 47.354 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.31 47.377 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.312 47.4 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.312 47.424 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.309 47.447 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.307 47.47 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.304 47.493 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.301 47.515 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.293 47.536 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.286 47.557 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.278 47.578 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.27 47.599 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.262 47.62 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.26 47.643 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.259 47.666 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.258 47.689 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.257 47.713 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.256 47.736 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.256 47.759 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.255 47.782 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.255 47.805 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.255 47.829 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.254 47.852 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.254 47.875 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.255 47.898 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.256 47.921 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.257 47.944 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.258 47.968 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.258 47.991 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.259 48.014 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.26 48.037 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
39.261 48.06 -0 15000 0.16482 0 -90 40 3e+010 3.2e+010
