# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
161 161 76 GSKF
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
38.726 44.681 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.74 44.666 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.754 44.651 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.768 44.637 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.782 44.622 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.795 44.607 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.809 44.592 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.823 44.577 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.837 44.562 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.85 44.546 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.862 44.53 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.876 44.515 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.892 44.504 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.909 44.494 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.925 44.484 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.941 44.473 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.953 44.457 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.964 44.438 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.975 44.42 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
38.988 44.404 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.001 44.387 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.014 44.371 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.031 44.366 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.049 44.366 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.068 44.366 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.086 44.365 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.103 44.36 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.121 44.356 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.139 44.351 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.157 44.347 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.174 44.341 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.183 44.321 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.193 44.301 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.203 44.282 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.219 44.272 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.236 44.262 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.252 44.251 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.268 44.241 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.278 44.222 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.286 44.201 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.293 44.179 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.3 44.158 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.314 44.144 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.329 44.131 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.344 44.118 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.359 44.105 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.374 44.091 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.388 44.077 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.403 44.063 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.417 44.05 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.431 44.035 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.444 44.019 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.457 44.002 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.47 43.986 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.484 43.971 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.498 43.956 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.512 43.942 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.524 43.925 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.534 43.905 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.544 43.886 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.554 43.866 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.563 43.846 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.573 43.827 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.583 43.807 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.597 43.792 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.611 43.778 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.624 43.762 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.633 43.742 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.643 43.722 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.655 43.704 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.669 43.69 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.683 43.675 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.696 43.659 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.705 43.639 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.714 43.619 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
39.724 43.599 -0 15000 0.2955 0 180 90 3e+010 3.2e+010
