# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
175 175 31 GSKF_2
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
38.666 44.716 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.653 44.732 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.64 44.748 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.627 44.764 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.615 44.781 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.603 44.798 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.59 44.814 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.577 44.83 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.564 44.847 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.553 44.865 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.542 44.883 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.531 44.901 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.52 44.919 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.51 44.939 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.5 44.957 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.49 44.977 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.485 44.999 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.481 45.021 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.477 45.044 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.476 45.066 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.476 45.089 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.479 45.112 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.48 45.135 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.48 45.158 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.479 45.181 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.478 45.204 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.473 45.226 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.467 45.248 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.462 45.27 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.457 45.292 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
38.451 45.313 -0 15000 0.5281 0 180 90 3e+010 3.2e+010
