# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
174 174 70 Khoja
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
39.087 46.356 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
39.072 46.369 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
39.057 46.382 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
39.042 46.394 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
39.026 46.407 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
39.011 46.42 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.996 46.432 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.981 46.445 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.966 46.457 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.95 46.468 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.934 46.478 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.918 46.489 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.901 46.499 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.886 46.51 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.871 46.524 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.856 46.537 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.842 46.552 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.832 46.571 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.821 46.589 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.814 46.61 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.809 46.633 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.805 46.655 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.803 46.678 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.802 46.701 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.802 46.724 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.802 46.747 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.8 46.77 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.798 46.793 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.796 46.816 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.793 46.839 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.79 46.861 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.784 46.883 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.778 46.905 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.77 46.925 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.762 46.946 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.754 46.966 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.745 46.987 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.737 47.007 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.729 47.028 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.721 47.049 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.716 47.071 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.711 47.093 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.708 47.116 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.705 47.138 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.701 47.161 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.696 47.183 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.692 47.205 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.688 47.228 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.683 47.25 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.677 47.272 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.671 47.293 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.664 47.314 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.656 47.335 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.647 47.355 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.636 47.373 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.624 47.391 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.613 47.409 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.602 47.427 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.591 47.446 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.581 47.464 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.57 47.483 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.56 47.502 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.553 47.523 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.546 47.544 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.539 47.565 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.532 47.587 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.526 47.608 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.521 47.63 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.518 47.653 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
38.515 47.676 -0 15000 0.1529 0 180 90 3e+010 3.2e+010
