# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
108 108 47 Masuleh
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
36.935 49.008 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
36.95 48.996 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
36.966 48.984 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
36.981 48.973 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
36.997 48.961 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.012 48.949 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.025 48.934 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.038 48.918 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.051 48.902 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.063 48.886 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.076 48.87 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.09 48.855 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.103 48.839 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.116 48.824 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.131 48.81 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.145 48.798 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.16 48.785 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.175 48.772 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.19 48.759 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.205 48.747 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.22 48.734 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.235 48.721 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.25 48.71 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.266 48.698 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.283 48.691 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.3 48.684 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.316 48.673 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.328 48.656 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.34 48.639 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.352 48.622 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.362 48.603 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.373 48.585 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.385 48.569 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.399 48.555 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.413 48.541 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.428 48.527 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.442 48.513 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.456 48.498 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.47 48.484 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.484 48.47 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.499 48.457 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.516 48.45 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.533 48.443 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.55 48.436 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.568 48.428 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.585 48.421 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
37.602 48.414 -0 15000 0.1564 0 0 50 3e+010 3.2e+010
