# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
163 163 76 Nakhichevan
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
39.266 45.475 -0 15000 0 0 180 90 3e+010 3.2e+010
39.279 45.458 -0 15000 0 0 180 90 3e+010 3.2e+010
39.292 45.442 -0 15000 0 0 180 90 3e+010 3.2e+010
39.305 45.426 -0 15000 0 0 180 90 3e+010 3.2e+010
39.318 45.411 -0 15000 0 0 180 90 3e+010 3.2e+010
39.333 45.398 -0 15000 0 0 180 90 3e+010 3.2e+010
39.349 45.385 -0 15000 0 0 180 90 3e+010 3.2e+010
39.364 45.372 -0 15000 0 0 180 90 3e+010 3.2e+010
39.38 45.363 -0 15000 0 0 180 90 3e+010 3.2e+010
39.397 45.355 -0 15000 0 0 180 90 3e+010 3.2e+010
39.414 45.347 -0 15000 0 0 180 90 3e+010 3.2e+010
39.431 45.339 -0 15000 0 0 180 90 3e+010 3.2e+010
39.445 45.323 -0 15000 0 0 180 90 3e+010 3.2e+010
39.454 45.303 -0 15000 0 0 180 90 3e+010 3.2e+010
39.463 45.283 -0 15000 0 0 180 90 3e+010 3.2e+010
39.472 45.263 -0 15000 0 0 180 90 3e+010 3.2e+010
39.485 45.247 -0 15000 0 0 180 90 3e+010 3.2e+010
39.501 45.235 -0 15000 0 0 180 90 3e+010 3.2e+010
39.516 45.224 -0 15000 0 0 180 90 3e+010 3.2e+010
39.532 45.213 -0 15000 0 0 180 90 3e+010 3.2e+010
39.548 45.202 -0 15000 0 0 180 90 3e+010 3.2e+010
39.564 45.191 -0 15000 0 0 180 90 3e+010 3.2e+010
39.58 45.18 -0 15000 0 0 180 90 3e+010 3.2e+010
39.596 45.17 -0 15000 0 0 180 90 3e+010 3.2e+010
39.613 45.16 -0 15000 0 0 180 90 3e+010 3.2e+010
39.629 45.149 -0 15000 0 0 180 90 3e+010 3.2e+010
39.645 45.139 -0 15000 0 0 180 90 3e+010 3.2e+010
39.66 45.126 -0 15000 0 0 180 90 3e+010 3.2e+010
39.675 45.113 -0 15000 0 0 180 90 3e+010 3.2e+010
39.69 45.099 -0 15000 0 0 180 90 3e+010 3.2e+010
39.704 45.086 -0 15000 0 0 180 90 3e+010 3.2e+010
39.718 45.071 -0 15000 0 0 180 90 3e+010 3.2e+010
39.731 45.054 -0 15000 0 0 180 90 3e+010 3.2e+010
39.744 45.038 -0 15000 0 0 180 90 3e+010 3.2e+010
39.757 45.022 -0 15000 0 0 180 90 3e+010 3.2e+010
39.77 45.005 -0 15000 0 0 180 90 3e+010 3.2e+010
39.784 44.991 -0 15000 0 0 180 90 3e+010 3.2e+010
39.798 44.976 -0 15000 0 0 180 90 3e+010 3.2e+010
39.812 44.961 -0 15000 0 0 180 90 3e+010 3.2e+010
39.826 44.947 -0 15000 0 0 180 90 3e+010 3.2e+010
39.842 44.935 -0 15000 0 0 180 90 3e+010 3.2e+010
39.858 44.924 -0 15000 0 0 180 90 3e+010 3.2e+010
39.873 44.912 -0 15000 0 0 180 90 3e+010 3.2e+010
39.889 44.9 -0 15000 0 0 180 90 3e+010 3.2e+010
39.904 44.887 -0 15000 0 0 180 90 3e+010 3.2e+010
39.916 44.87 -0 15000 0 0 180 90 3e+010 3.2e+010
39.923 44.849 -0 15000 0 0 180 90 3e+010 3.2e+010
39.93 44.827 -0 15000 0 0 180 90 3e+010 3.2e+010
39.94 44.808 -0 15000 0 0 180 90 3e+010 3.2e+010
39.952 44.79 -0 15000 0 0 180 90 3e+010 3.2e+010
39.964 44.772 -0 15000 0 0 180 90 3e+010 3.2e+010
39.975 44.754 -0 15000 0 0 180 90 3e+010 3.2e+010
39.988 44.737 -0 15000 0 0 180 90 3e+010 3.2e+010
40.001 44.721 -0 15000 0 0 180 90 3e+010 3.2e+010
40.014 44.704 -0 15000 0 0 180 90 3e+010 3.2e+010
40.027 44.688 -0 15000 0 0 180 90 3e+010 3.2e+010
40.04 44.671 -0 15000 0 0 180 90 3e+010 3.2e+010
40.052 44.655 -0 15000 0 0 180 90 3e+010 3.2e+010
40.065 44.638 -0 15000 0 0 180 90 3e+010 3.2e+010
40.078 44.622 -0 15000 0 0 180 90 3e+010 3.2e+010
40.087 44.602 -0 15000 0 0 180 90 3e+010 3.2e+010
40.097 44.582 -0 15000 0 0 180 90 3e+010 3.2e+010
40.107 44.562 -0 15000 0 0 180 90 3e+010 3.2e+010
40.12 44.546 -0 15000 0 0 180 90 3e+010 3.2e+010
40.132 44.529 -0 15000 0 0 180 90 3e+010 3.2e+010
40.145 44.513 -0 15000 0 0 180 90 3e+010 3.2e+010
40.158 44.496 -0 15000 0 0 180 90 3e+010 3.2e+010
40.171 44.48 -0 15000 0 0 180 90 3e+010 3.2e+010
40.184 44.463 -0 15000 0 0 180 90 3e+010 3.2e+010
40.197 44.447 -0 15000 0 0 180 90 3e+010 3.2e+010
40.21 44.43 -0 15000 0 0 180 90 3e+010 3.2e+010
40.223 44.414 -0 15000 0 0 180 90 3e+010 3.2e+010
40.235 44.397 -0 15000 0 0 180 90 3e+010 3.2e+010
40.246 44.378 -0 15000 0 0 180 90 3e+010 3.2e+010
40.254 44.357 -0 15000 0 0 180 90 3e+010 3.2e+010
40.262 44.336 -0 15000 0 0 180 90 3e+010 3.2e+010
