# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
71 71 104 North_Tabriz
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
38.447 45.327 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.441 45.348 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.435 45.37 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.429 45.391 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.422 45.413 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.416 45.434 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.41 45.456 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.404 45.478 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.397 45.499 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.391 45.521 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.385 45.542 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.379 45.564 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.373 45.585 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.366 45.607 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.36 45.628 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.354 45.65 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.348 45.671 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.342 45.693 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.336 45.714 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.33 45.736 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.324 45.758 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.318 45.779 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.312 45.801 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.306 45.823 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.3 45.844 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.294 45.866 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.288 45.887 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.282 45.909 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.276 45.931 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.27 45.952 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.264 45.974 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.258 45.995 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.252 46.017 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.246 46.038 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.24 46.06 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.234 46.082 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.227 46.103 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.217 46.122 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.207 46.141 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.198 46.16 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.188 46.18 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.178 46.199 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.168 46.218 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.159 46.237 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.149 46.257 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.14 46.277 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.131 46.296 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.122 46.316 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.112 46.336 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.103 46.355 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.094 46.375 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.085 46.395 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.076 46.414 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.066 46.434 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.057 46.453 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.048 46.473 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.038 46.492 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.027 46.51 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.016 46.528 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
38.005 46.546 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.993 46.564 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.982 46.582 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.971 46.6 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.96 46.618 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.949 46.636 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.938 46.654 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.926 46.671 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.915 46.689 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.904 46.707 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.893 46.726 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.882 46.744 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.871 46.762 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.86 46.78 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.849 46.798 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.838 46.816 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.827 46.834 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.816 46.852 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.805 46.87 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.794 46.888 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.783 46.906 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.771 46.923 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.759 46.939 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.746 46.956 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.733 46.972 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.72 46.988 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.707 47.004 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.695 47.02 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.682 47.036 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.669 47.052 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.656 47.068 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.643 47.084 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.631 47.101 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.62 47.119 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.61 47.137 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.599 47.155 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.588 47.173 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.577 47.192 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.566 47.21 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.556 47.228 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
37.545 47.246 -0 15000 0.5898 0 180 90 3e+010 3.2e+010
