# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
164 164 93 PSSF
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
39.386 46.245 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.401 46.231 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.415 46.217 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.43 46.203 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.444 46.19 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.458 46.176 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.475 46.166 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.492 46.157 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.508 46.148 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.525 46.139 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.542 46.13 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.558 46.121 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.575 46.112 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.592 46.103 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.609 46.095 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.626 46.086 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.643 46.078 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.659 46.07 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.675 46.057 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.69 46.044 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.705 46.032 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.72 46.02 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.736 46.009 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.753 45.999 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.769 45.989 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.785 45.978 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.801 45.966 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.816 45.954 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.832 45.943 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.848 45.933 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.865 45.924 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.882 45.915 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.898 45.905 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.913 45.891 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.927 45.877 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.941 45.862 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.954 45.846 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.967 45.829 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.979 45.813 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
39.994 45.8 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.012 45.794 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.03 45.788 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.047 45.783 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.064 45.774 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.077 45.758 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.09 45.741 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.103 45.725 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.116 45.708 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.128 45.692 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.141 45.676 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.155 45.66 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.17 45.648 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.186 45.637 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.202 45.625 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.217 45.613 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.23 45.597 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.243 45.58 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.257 45.565 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.273 45.553 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.289 45.542 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.304 45.53 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.32 45.519 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.335 45.506 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
40.351 45.494 -0 15000 0.3029 0 180 90 3e+010 3.2e+010
