# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
160 160 43 SNF
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
37.201 44.926 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.214 44.91 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.231 44.902 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.249 44.9 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.267 44.899 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.285 44.897 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.303 44.896 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.321 44.894 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.339 44.893 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.357 44.891 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.375 44.888 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.393 44.884 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.411 44.881 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.428 44.875 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.444 44.864 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.459 44.852 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.47 44.834 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.481 44.815 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.497 44.807 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.515 44.803 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.533 44.799 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.55 44.792 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.567 44.783 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.584 44.775 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.599 44.762 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.614 44.75 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.631 44.742 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.648 44.734 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.665 44.726 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.682 44.718 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.695 44.703 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.71 44.689 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.726 44.681 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.743 44.672 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.758 44.66 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.773 44.646 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.787 44.633 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.802 44.62 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.818 44.608 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.834 44.599 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.851 44.59 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.867 44.581 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
37.884 44.572 -0 15000 0.1933 0 180 90 3e+010 3.2e+010
