# fault_id: ID number of the parent fault of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
24 33 Sangavar
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
37.676 48.322 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.694 48.323 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.712 48.323 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.73 48.324 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.748 48.325 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.766 48.328 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.782 48.338 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.799 48.347 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.815 48.357 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.828 48.373 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.841 48.389 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.853 48.406 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.866 48.421 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.882 48.431 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.899 48.442 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.915 48.452 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.932 48.459 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.95 48.465 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.967 48.47 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
37.985 48.474 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.003 48.478 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.021 48.481 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.039 48.484 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.056 48.488 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.073 48.496 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.091 48.503 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.108 48.51 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.125 48.518 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.142 48.525 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.159 48.532 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.176 48.54 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.193 48.547 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
38.21 48.554 -0 15000 0.1383 0 0 60 3e+010 3.2e+010
