# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
154 154 24 Sufian
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
38.263 45.978 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.258 45.956 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.253 45.934 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.248 45.912 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.243 45.89 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.237 45.868 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.231 45.846 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.225 45.825 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.219 45.803 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.213 45.782 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.207 45.76 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.202 45.738 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.198 45.716 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.193 45.694 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.189 45.672 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.187 45.649 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.185 45.626 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.184 45.603 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.185 45.581 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.185 45.558 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.187 45.535 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.188 45.512 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.189 45.489 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
38.191 45.467 -0 15000 0.42256 0 90 60 3e+010 3.2e+010
