# fault_id: ID number of the parent fault of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
28 136 Talesh
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
39.422 48.107 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.41 48.124 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.398 48.141 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.386 48.158 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.373 48.175 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.361 48.193 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.349 48.21 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.337 48.227 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.325 48.244 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.312 48.261 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.3 48.278 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.288 48.295 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.274 48.31 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.26 48.325 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.246 48.34 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.232 48.355 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.218 48.369 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.205 48.384 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.191 48.399 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.177 48.414 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.163 48.429 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.149 48.443 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.134 48.457 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.12 48.471 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.106 48.485 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.091 48.5 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.077 48.514 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.063 48.528 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.048 48.542 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.034 48.556 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.02 48.57 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
39.004 48.582 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.988 48.593 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.973 48.605 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.957 48.616 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.941 48.628 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.926 48.64 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.91 48.651 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.894 48.663 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.879 48.674 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.862 48.683 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.845 48.69 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.828 48.698 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.811 48.705 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.793 48.712 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.776 48.719 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.759 48.727 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.742 48.734 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.725 48.741 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.707 48.748 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.69 48.756 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.673 48.763 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.656 48.77 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.639 48.777 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.622 48.784 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.604 48.791 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.586 48.795 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.569 48.8 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.551 48.804 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.533 48.809 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.516 48.813 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.498 48.818 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.48 48.822 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.462 48.827 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.445 48.831 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.427 48.836 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.409 48.84 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.391 48.845 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.374 48.849 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.356 48.854 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.338 48.858 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
38.32 48.862 -20000 15000 0.7489 0 90 50 3e+010 3.2e+010
