# fault_id: ID number of the parent fault of this section
# sec_id: ID number of this section
# num_points: Number of trace points comprising this section
# section_name: Name of the section
172 172 30 Tasuj
# latitude longitude altitude depth slip-rate aseismic rake dip lame_mu lame_lambda
38.396 45.503 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.385 45.485 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.375 45.466 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.367 45.446 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.358 45.426 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.349 45.406 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.345 45.383 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.343 45.361 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.34 45.338 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.335 45.316 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.329 45.294 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.324 45.272 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.319 45.25 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.313 45.229 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.307 45.207 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.305 45.184 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.303 45.161 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.297 45.14 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.288 45.12 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.28 45.099 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.272 45.079 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.267 45.057 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.263 45.035 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.26 45.012 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.261 44.99 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.265 44.967 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.273 44.947 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.282 44.926 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.29 44.906 -0 15000 0.254 0 180 60 3e+010 3.2e+010
38.298 44.886 -0 15000 0.254 0 180 60 3e+010 3.2e+010
