# Number of sections
# Number of elements
# Number of vertices
179 14310 42378
# id: Unique ID of the section.
# fault_id: ID of the parent fault.
# name: Name of the fault.
# id fault_id name 
0 1 SAF-Mendo_Offs
1 1 SAF-N_Mendocin
2 1 SAF-N_Mendocin
3 1 SAF-N_Coast_Of
4 1 SAF-N_Coast_On
5 1 SAF-N_Mid_Peni
6 1 SAF-S_Mid_Peni
7 1 SAF-S_Mid_Peni
8 1 SAF-S_Cruz_Mts
9 1 SAF-S_Cruz_Mts
10 1 SAF-Parkfield
11 1 SAF-Cholame
12 1 SAF-Carrizo
13 1 SAF-Mojave
14 1 SAF-San_Bernar
15 1 SAF-Coachella
16 2 Brawley
17 3 Imperial-N
18 3 Imperial-C
19 3 Imperial-S
20 4 San_Bernardino
21 4 San_Jacinto
22 4 Anza
23 5 Coyote_Cr
24 5 Borrego
25 5 Superstion_Mt.
26 6 Superstion_Hll
27 7 Whittier
28 7 Glen_Ivy
29 7 Temecula
30 7 Julian
31 7 Coyote_Mt.
32 8 Earthqk_Valley
33 9 N_San_Gregorio
34 9 S_San_Gregorio
35 10 N_Maacama
36 10 C_Maacama
37 10 S_Maacama
38 11 Rodgers_Creek
39 12 Hayward
40 12 Hayward
41 13 Berryessa
42 14 Greenvalley
43 15 Concord
44 16 Calaveras
45 16 Calaveras
46 16 Calaveras
47 17 West_Napa
48 18 Greenville
49 19 B_Northridge
50 20 Sierra_Mad-cn
51 21 Sierra_Mad-SFd
52 22 Cucamonga
53 23 Palos_Verdes
54 23 Pals_V-Corbank
55 24 B_Elpark
56 25 Snta_Ynez-W
57 25 Snta_Ynez-E
58 26 Red_Mtn
59 27 San_Cayetano
60 28 Oakridge-onsho
61 29 Santa_Susana
62 30 White_Wolf
63 31 Pleito
64 32 Anacapa-Dume
65 33 Pitas_Pt_East
66 34 Nwprt_Ing-off
67 35 Rose_Cny-off
68 36 Garlock_E
69 36 Garlock_W
70 37 Pinto_Mtn
71 38 Cleghorn
72 39 Hosgri
73 40 Owl_Lk
74 41 Death_Vlly-S
75 42 Death_Vlly-Grb
76 43 Hunter_Mtn
77 44 Panamint
78 45 Owens_Vlly
79 46 Death_Vlly-N
80 47 Laguna_Salada
81 48 Elmore_Ranch
82 49 Santa_Monica
83 50 San_Gabriel
84 51 Verdugo
85 52 Clamshell
86 53 Hollywood
87 54 Raymond
88 55 San_Jose
89 56 Newport_Ing
90 57 Chino_Central
91 58 Los_Alamos
92 59 Arroyo-MRidge
93 60 Ventura
94 61 Pitas_Pt_West
95 62 Simi
96 63 Holser
97 64 Bigpine
98 65 Santa_Rosa_Isl
99 66 Santa_Cruz_Isl
100 67 Malibu_Coast
101 68 Blackwater
102 69 Harper_Lk
103 70 Helendale
104 71 Lockhart
105 72 Hidalgo-Wc
106 73 Bullion-Mesq
107 74 Johnson_Vly-N
108 75 Landers
109 76 Emerson-CopMt
110 77 N_Frontal-W
111 78 N_Frontal-E
112 79 Burnt_Mtn
113 80 Eureka_Peak
114 81 Casmalia
115 82 Los_Osos
116 83 San_Juan
117 84 Tank_Cyn
118 85 Little_Lake
119 86 Birch_Ck
120 87 Cerro_Prieto-N
121 87 Cerro_Prieto-S
122 88 Cerro_Prieto-W
123 89 San_Miguel
124 90 Mono
125 91 Hartley_Spr
126 92 Hilton_Crk
127 93 Round_Valley
128 94 Deep_Spr
129 95 White_Mtn
130 96 Death_Vlly-NCu
131 97 Rinconada
132 98 MontBay-Tul
133 99 Quien_Sabe
134 100 Ortigalita
135 101 Mt._Diablo
136 102 Collayomi
137 103 Pt._Reyes
138 104 Mon_Vis-Shannon
139 105 Bartlett_Spring
140 106 Antelope_Vlly
141 107 Genoa
142 108 Independence
143 109 Robinson_Crk
144 110 B_Chan_Isle_Th
145 111 Puente_Hills
146 112 Sn_Joaquin_Hil
147 113 Honey_Lake
148 114 Little_Salmon
149 115 Surprise_Valley
150 116 Hat_Creek
