101 EQSim_Input_Friction_by_hand_Schultz
111 Fault friction from UCERF3
102 End_Metadata
120 200 summary 4    Record 200: Fault friction summary
121 1 n_element 1    Field 1: Total number of elements in the file
121 2 elastic_flag 1    Field 2: 1 if elastic parameters (record 201) are included, 0 if not
121 3 strength_flag 1    Field 3: 1 if fault strength (record 202) is included, 0 if not
121 4 rate_state_flag 1    Field 4: 1 if rate-state parameters (record 203) are included, 0 if not
120 201 elastic_param 2    Record 201: Elastic parameters
121 1 lame_lambda 2    Field 1: Lame modulus lambda (Pascal)
121 2 lame_mu 2    Field 2: Lame modulus mu, also known as the shear modulus (Pascal)
120 202 fault_strength 3    Record 202: Fault strength
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 static_strength 2    Field 2: Element static yield strength (Pascal)
121 3 dynamic_strength 2    Field 3: Element dynamic sliding strength (Pascal)
120 203 rate_state 6    Record 203: Rate-state parameters
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 A 2    Field 2: Element rate-state parameter A
121 3 B 2    Field 3: Element rate-state parameter B
121 4 L 2    Field 4: Element rate-state characteristic distance L (meters)
121 5 f0 2    Field 5: Element rate-state friction coefficient f0
121 6 V0 2    Field 6: Element rate-state reference velocity V0 (meters/second)
103 End_Descriptor
200 264 1 1 0
201  3.200000e+010  3.000000e+010
202 4546 0.000000e+000 0.000000e+000 
202 4547 0.000000e+000 0.000000e+000 
202 4548 0.000000e+000 0.000000e+000 
202 4549 0.000000e+000 0.000000e+000 
202 4550 0.000000e+000 0.000000e+000 
202 4551 0.000000e+000 0.000000e+000 
202 4552 0.000000e+000 0.000000e+000 
202 4553 0.000000e+000 0.000000e+000 
202 4554 0.000000e+000 0.000000e+000 
202 4555 0.000000e+000 0.000000e+000 
202 4556 0.000000e+000 0.000000e+000 
202 4557 0.000000e+000 0.000000e+000 
202 4558 0.000000e+000 0.000000e+000 
202 4559 0.000000e+000 0.000000e+000 
202 4560 0.000000e+000 0.000000e+000 
202 4561 0.000000e+000 0.000000e+000 
202 4562 0.000000e+000 0.000000e+000 
202 4563 0.000000e+000 0.000000e+000 
202 4564 0.000000e+000 0.000000e+000 
202 4565 0.000000e+000 0.000000e+000 
202 4566 0.000000e+000 0.000000e+000 
202 4567 0.000000e+000 0.000000e+000 
202 4568 0.000000e+000 0.000000e+000 
202 4569 0.000000e+000 0.000000e+000 
202 4570 0.000000e+000 0.000000e+000 
202 4571 0.000000e+000 0.000000e+000 
202 4572 0.000000e+000 0.000000e+000 
202 4573 0.000000e+000 0.000000e+000 
202 4574 0.000000e+000 0.000000e+000 
202 4575 0.000000e+000 0.000000e+000 
202 4576 0.000000e+000 0.000000e+000 
202 4577 0.000000e+000 0.000000e+000 
202 4578 0.000000e+000 0.000000e+000 
202 4579 0.000000e+000 0.000000e+000 
202 4580 0.000000e+000 0.000000e+000 
202 4581 0.000000e+000 0.000000e+000 
202 4582 0.000000e+000 0.000000e+000 
202 4583 0.000000e+000 0.000000e+000 
202 4584 0.000000e+000 0.000000e+000 
202 4585 0.000000e+000 0.000000e+000 
202 4586 0.000000e+000 0.000000e+000 
202 4587 0.000000e+000 0.000000e+000 
202 4588 0.000000e+000 0.000000e+000 
202 4589 0.000000e+000 0.000000e+000 
202 4590 0.000000e+000 0.000000e+000 
202 4591 0.000000e+000 0.000000e+000 
202 4592 0.000000e+000 0.000000e+000 
202 4593 0.000000e+000 0.000000e+000 
202 4594 0.000000e+000 0.000000e+000 
202 4595 0.000000e+000 0.000000e+000 
202 4596 0.000000e+000 0.000000e+000 
202 4597 0.000000e+000 0.000000e+000 
202 4598 0.000000e+000 0.000000e+000 
202 4599 0.000000e+000 0.000000e+000 
202 4600 0.000000e+000 0.000000e+000 
202 4601 0.000000e+000 0.000000e+000 
202 4602 0.000000e+000 0.000000e+000 
202 4603 0.000000e+000 0.000000e+000 
202 4604 0.000000e+000 0.000000e+000 
202 4605 0.000000e+000 0.000000e+000 
202 4606 0.000000e+000 0.000000e+000 
202 4607 0.000000e+000 0.000000e+000 
202 4608 0.000000e+000 0.000000e+000 
202 4609 0.000000e+000 0.000000e+000 
202 4610 0.000000e+000 0.000000e+000 
202 4611 0.000000e+000 0.000000e+000 
202 4612 0.000000e+000 0.000000e+000 
202 4613 0.000000e+000 0.000000e+000 
202 4614 0.000000e+000 0.000000e+000 
202 4615 0.000000e+000 0.000000e+000 
202 4616 0.000000e+000 0.000000e+000 
202 4617 0.000000e+000 0.000000e+000 
202 4618 0.000000e+000 0.000000e+000 
202 4619 0.000000e+000 0.000000e+000 
202 4620 0.000000e+000 0.000000e+000 
202 4621 0.000000e+000 0.000000e+000 
202 4622 0.000000e+000 0.000000e+000 
202 4623 0.000000e+000 0.000000e+000 
202 4624 0.000000e+000 0.000000e+000 
202 4625 0.000000e+000 0.000000e+000 
202 4626 0.000000e+000 0.000000e+000 
