101 EQSim_Input_Geometry_2 2
102 End_Metadata
120 200 summary 10    Record 200: Fault system summary
121 1 n_section 1    Field 1: Total number of fault sections in the file
121 2 n_vertex 1    Field 2: Total number of vertices in the file
121 3 n_triangle 1    Field 3: Total number of triangles in the file
121 4 n_rectangle 1    Field 4: Total number of rectangles in the file
121 5 lat_lo 2    Field 5: Lowest value of latitude in the file (decimal degrees, positive north)
121 6 lat_hi 2    Field 6: Highest value of latitude in the file (decimal degrees, positive north)
121 7 lon_lo 2    Field 7: Lowest value of longitude in the file (decimal degrees, positive east)
121 8 lon_hi 2    Field 8: Highest value of longitude in the file (decimal degrees, positive east)
121 9 depth_lo 2    Field 9: Lowest value of depth in the file (meters, negative underground)
121 10 depth_hi 2    Field 10: Highest value of depth in the file (meters, negative underground)
120 201 section 14    Record 201: Fault section information
121 1 sid 1    Field 1: Section identification number (positive integer, may not be consecutive)
121 2 name 3    Field 2: Section name
121 3 n_vertex 1    Field 3: Total number of vertices in the section
121 4 n_triangle 1    Field 4: Total number of triangles in the section
121 5 n_rectangle 1    Field 5: Total number of rectangles in the section
121 6 lat_lo 2    Field 6: Lowest value of latitude in the section (decimal degrees, positive north)
121 7 lat_hi 2    Field 7: Highest value of latitude in the section (decimal degrees, positive north)
121 8 lon_lo 2    Field 8: Lowest value of longitude in the section (decimal degrees, positive east)
121 9 lon_hi 2    Field 9: Highest value of longitude in the section (decimal degrees, positive east)
121 10 depth_lo 2    Field 10: Lowest value of depth in the section (meters, negative underground)
121 11 depth_hi 2    Field 11: Highest value of depth in the section (meters, negative underground)
121 12 das_lo 2    Field 12: Lowest value of distance-along-strike in the section (meters)
121 13 das_hi 2    Field 13: Highest value of distance-along-strike in the section (meters)
121 14 fault_id 1    Field 14: Fault identification number (positive integer)
120 202 vertex 6    Record 202: Vertex
121 1 index 1    Field 1: Vertex index number (consecutive integers, starting with 1)
121 2 lat 2    Field 2: Latitude (decimal degrees, positive north)
121 3 lon 2    Field 3: Longitude (decimal degrees, positive east)
121 4 depth 2    Field 4: Depth (meters, negative underground)
121 5 das 2    Field 5: Distance-along-strike (meters)
121 6 trace_flag 1    Field 6: Trace flag (0 = not on trace, 1 = on trace but not initial or final, 2 = initial point on trace, 3 = final point on trace)
120 203 triangle 9    Record 203: Triangle
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 vertex_1 1    Field 2: Vertex index number for corner #1 (counting counterclockwise as viewed from positive side of element)
121 3 vertex_2 1    Field 3: Vertex index number for corner #2 (counting counterclockwise as viewed from positive side of element)
121 4 vertex_3 1    Field 4: Vertex index number for corner #3 (counting counterclockwise as viewed from positive side of element)
121 5 rake 2    Field 5: Rake angle (decimal degrees)
121 6 slip_rate 2    Field 6: Element slip rate (meters/second)
121 7 aseis_factor 2    Field 7: Element aseismicity factor
121 8 strike 2    Field 8: Strike angle (decimal degrees)
121 9 dip 2    Field 9: Dip angle (decimal degrees)
120 204 rectangle 11    Record 204: Rectangle
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 vertex_1 1    Field 2: Vertex index number for corner #1 (counting counterclockwise as viewed from positive side of element)
121 3 vertex_2 1    Field 3: Vertex index number for corner #2 (counting counterclockwise as viewed from positive side of element)
121 4 vertex_3 1    Field 4: Vertex index number for corner #3 (counting counterclockwise as viewed from positive side of element)
121 5 vertex_4 1    Field 5: Vertex index number for corner #4 (counting counterclockwise as viewed from positive side of element)
121 6 rake 2    Field 6: Rake angle (decimal degrees)
121 7 slip_rate 2    Field 7: Element slip rate (meters/second)
121 8 aseis_factor 2    Field 8: Element aseismicity factor
121 9 strike 2    Field 9: Strike angle (decimal degrees)
121 10 dip 2    Field 10: Dip angle (decimal degrees)
121 11 perfect_flag 1    Field 11: Perfect flag (0 = not perfect rectangle, 1 = perfect rectangle)
103 End_Descriptor
200 87 3264 0 816 31.5255 42.477 -126.381 -114.933 -24800 0.177638
201 869 Hollywood_Subsection_2 40 0 10 34.0792 34.1565 -118.439 -118.357 -17300 -0.0427103 0 6331.06 108
202 28977 34.0918 -118.389 -0.0427103 3165.53 1
202 28978 34.1023 -118.394 -3459.96 0 0
202 28979 34.1127 -118.362 -3459.96 0 0
202 28980 34.1022 -118.357 -0.0427103 0 2
202 28981 34.1027 -118.393 -3460.04 3165.53 0
202 28982 34.1131 -118.398 -6919.96 0 0
202 28983 34.1236 -118.366 -6919.96 0 0
202 28984 34.1132 -118.361 -3460.04 0 0
202 28985 34.1137 -118.396 -6920.04 3165.53 0
202 28986 34.1242 -118.401 -10380 0 0
202 28987 34.1346 -118.369 -10380 0 0
202 28988 34.1241 -118.364 -6920.04 0 0
202 28989 34.1246 -118.4 -10380 3165.53 0
202 28990 34.135 -118.405 -13840 0 0
202 28991 34.1455 -118.373 -13840 0 0
202 28992 34.1351 -118.368 -10380 0 0
202 28993 34.1356 -118.403 -13840 3165.53 0
202 28994 34.1461 -118.408 -17300 0 0
202 28995 34.1565 -118.376 -17300 0 0
202 28996 34.146 -118.371 -13840 0 0
202 28997 34.0792 -118.419 -0.0568541 6331.06 3
202 28998 34.0891 -118.425 -3459.94 3165.53 0
202 28999 34.102 -118.395 -3459.94 3165.53 0
202 29000 34.0921 -118.389 -0.0568541 3165.53 1
202 29001 34.0901 -118.423 -3460.06 6331.06 0
202 29002 34.0999 -118.429 -6919.94 3165.53 0
202 29003 34.1129 -118.398 -6919.94 3165.53 0
202 29004 34.1031 -118.392 -3460.06 3165.53 0
202 29005 34.1011 -118.426 -6920.05 6331.06 0
202 29006 34.111 -118.432 -10379.9 3165.53 0
202 29007 34.1239 -118.402 -10379.9 3165.53 0
202 29008 34.114 -118.396 -6920.05 3165.53 0
202 29009 34.112 -118.43 -10380.1 6331.06 0
202 29010 34.1218 -118.436 -13839.9 3165.53 0
202 29011 34.1348 -118.405 -13839.9 3165.53 0
202 29012 34.125 -118.399 -10380.1 3165.53 0
