101 EQSim_Input_Geometry_2 4
111 FM3_1, ZENGBB output
112 Kevin Milner
113 Feb 22, 2016
120 200 summary 11    Record 200: Fault system summary
121 1 n_section 1    Field 1: Total number of fault sections in the file
121 2 n_vertex 1    Field 2: Total number of vertices in the file
121 3 n_triangle 1    Field 3: Total number of triangles in the file
121 4 n_rectangle 1    Field 4: Total number of rectangles in the file
121 5 lat_lo 2    Field 5: Lowest value of latitude (decimal degrees, positive north) or y (meters) in the file
121 6 lat_hi 2    Field 6: Highest value of latitude (decimal degrees, positive north) or y (meters) in the file
121 7 lon_lo 2    Field 7: Lowest value of longitude (decimal degrees, positive east) or x (meters) in the file
121 8 lon_hi 2    Field 8: Highest value of longitude (decimal degrees, positive east) or x (meters) in the file
121 9 depth_lo 2    Field 9: Lowest value of depth or z in the file (meters, negative underground)
121 10 depth_hi 2    Field 10: Highest value of depth or z in the file (meters, negative underground)
121 11 coord_sys 1    Field 11: Coordinate system (0 = spherical, 1 = rectangular)
120 201 section 14    Record 201: Fault section information
121 1 sid 1    Field 1: Section identification number (positive integer, may not be consecutive)
121 2 name 3    Field 2: Section name
121 3 n_vertex 1    Field 3: Total number of vertices in the section
121 4 n_triangle 1    Field 4: Total number of triangles in the section
121 5 n_rectangle 1    Field 5: Total number of rectangles in the section
121 6 lat_lo 2    Field 6: Lowest value of latitude (decimal degrees, positive north) or y (meters) in the section
121 7 lat_hi 2    Field 7: Highest value of latitude (decimal degrees, positive north) or y (meters) in the section
121 8 lon_lo 2    Field 8: Lowest value of longitude (decimal degrees, positive east) or x (meters) in the section
121 9 lon_hi 2    Field 9: Highest value of longitude (decimal degrees, positive east) or x (meters) in the section
121 10 depth_lo 2    Field 10: Lowest value of depth or z in the section (meters, negative underground)
121 11 depth_hi 2    Field 11: Highest value of depth or z in the section (meters, negative underground)
121 12 das_lo 2    Field 12: Lowest value of distance-along-strike in the section (meters)
121 13 das_hi 2    Field 13: Highest value of distance-along-strike in the section (meters)
121 14 fault_id 1    Field 14: Fault identification number (positive integer)
120 202 vertex 6    Record 202: Vertex
121 1 index 1    Field 1: Vertex index number (consecutive integers, starting with 1)
121 2 lat 2    Field 2: Latitude (decimal degrees, positive north) or y (meters)
121 3 lon 2    Field 3: Longitude (decimal degrees, positive east) or x (meters)
121 4 depth 2    Field 4: Depth or z (meters, negative underground)
121 5 das 2    Field 5: Distance-along-strike (meters)
121 6 trace_flag 1    Field 6: Trace flag (0 = not on trace, 1 = on trace but not initial or final, 2 = initial point on trace, 3 = final point on trace)
120 203 triangle 9    Record 203: Triangle
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 vertex_1 1    Field 2: Vertex index number for corner #1 (counting counterclockwise as viewed from positive side of element)
121 3 vertex_2 1    Field 3: Vertex index number for corner #2 (counting counterclockwise as viewed from positive side of element)
121 4 vertex_3 1    Field 4: Vertex index number for corner #3 (counting counterclockwise as viewed from positive side of element)
121 5 rake 2    Field 5: Rake angle (decimal degrees)
121 6 slip_rate 2    Field 6: Element slip rate (meters/second)
121 7 aseis_factor 2    Field 7: Element aseismicity factor
121 8 strike 2    Field 8: Strike angle (decimal degrees)
121 9 dip 2    Field 9: Dip angle (decimal degrees)
120 204 rectangle 11    Record 204: Rectangle
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 vertex_1 1    Field 2: Vertex index number for corner #1 (counting counterclockwise as viewed from positive side of element)
121 3 vertex_2 1    Field 3: Vertex index number for corner #2 (counting counterclockwise as viewed from positive side of element)
121 4 vertex_3 1    Field 4: Vertex index number for corner #3 (counting counterclockwise as viewed from positive side of element)
121 5 vertex_4 1    Field 5: Vertex index number for corner #4 (counting counterclockwise as viewed from positive side of element)
121 6 rake 2    Field 6: Rake angle (decimal degrees)
121 7 slip_rate 2    Field 7: Element slip rate (meters/second)
121 8 aseis_factor 2    Field 8: Element aseismicity factor
121 9 strike 2    Field 9: Strike angle (decimal degrees)
121 10 dip 2    Field 10: Dip angle (decimal degrees)
121 11 perfect_flag 1    Field 11: Perfect flag (0 = not perfect rectangle, 1 = perfect rectangle)
103 End_Descriptor
200 26 1056 0 264 31.52549 42.477013 -126.3812 -114.933075 -24800.0 0.17763767 0
201 512 Elsinore_Coyote_Mountains_Subsection_0 32 0 8 32.77884 32.8168 -116.06865 -115.994965 -13199.99 -0.009414745 0.0 6472.68 103
202 18181 32.77884 -116.00557 -0.009438981 0.0 2
202 18182 32.782574 -116.00356 -3299.9905 0.0 0
202 18183 32.794575 -116.0351 -3299.9905 3236.34 0
202 18184 32.790844 -116.03711 -0.009438981 3236.34 1
202 18185 32.782246 -116.00271 -3300.0093 0.0 0
202 18186 32.785976 -116.000694 -6599.9907 0.0 0
202 18187 32.79798 -116.032234 -6599.9907 3236.34 0
202 18188 32.79425 -116.03425 -3300.0093 3236.34 0
202 18189 32.78565 -115.99984 -6600.0093 0.0 0
202 18190 32.789383 -115.997826 -9899.99 0.0 0
202 18191 32.801388 -116.02937 -9899.99 3236.34 0
202 18192 32.797657 -116.03138 -6600.0093 3236.34 0
202 18193 32.789055 -115.99697 -9900.009 0.0 0
202 18194 32.792786 -115.994965 -13199.99 0.0 0
202 18195 32.804794 -116.026505 -13199.99 3236.34 0
202 18196 32.80106 -116.02852 -9900.009 3236.34 0
202 18197 32.790855 -116.0371 -0.009414745 3236.34 1
202 18198 32.794586 -116.035095 -3299.9905 3236.34 0
202 18199 32.806583 -116.06664 -3299.9905 6472.68 0
202 18200 32.80285 -116.06865 -0.009414745 6472.68 3
202 18201 32.79426 -116.03423 -3300.0093 3236.34 0
202 18202 32.797993 -116.03223 -6599.9907 3236.34 0
202 18203 32.809986 -116.063774 -6599.9907 6472.68 0
202 18204 32.806255 -116.06579 -3300.0093 6472.68 0
202 18205 32.797665 -116.03137 -6600.0093 3236.34 0
202 18206 32.801395 -116.029366 -9899.99 3236.34 0
202 18207 32.813393 -116.06091 -9899.99 6472.68 0
202 18208 32.80966 -116.06292 -6600.0093 6472.68 0
202 18209 32.801067 -116.0285 -9900.009 3236.34 0
202 18210 32.804802 -116.0265 -13199.99 3236.34 0
202 18211 32.8168 -116.058044 -13199.99 6472.68 0
202 18212 32.813065 -116.06005 -9900.009 6472.68 0
204 4546 18181 18182 18183 18184 -161.3753 6.0565705E-11 0.2 294.35788 82.139946 1
204 4547 18185 18186 18187 18188 -161.3753 6.0565705E-11 0.2 294.35898 82.13996 1
204 4548 18189 18190 18191 18192 -161.3753 6.0565705E-11 0.2 294.36005 82.13998 1
204 4549 18193 18194 18195 18196 -161.3753 6.0565705E-11 0.2 294.36115 82.139984 1
204 4550 18197 18198 18199 18200 -161.3753 6.0565705E-11 0.2 294.3408 82.140396 1
204 4551 18201 18202 18203 18204 -161.3753 6.0565705E-11 0.2 294.3419 82.14041 1
204 4552 18205 18206 18207 18208 -161.3753 6.0565705E-11 0.2 294.34296 82.14043 1
204 4553 18209 18210 18211 18212 -161.3753 6.0565705E-11 0.2 294.34406 82.140434 1
201 513 Elsinore_Coyote_Mountains_Subsection_1 32 0 8 32.802856 32.83835 -116.13272 -116.058044 -13199.993 -0.007246939 0.0 6472.68 103
202 18213 32.802856 -116.06863 -0.009273123 0.0 2
202 18214 32.806595 -116.06664 -3299.9907 0.0 0
202 18215 32.818462 -116.09826 -3299.9907 3236.34 0
202 18216 32.814728 -116.10025 -0.009273123 3236.34 1
